,rtol=1.00e-05,rtol=6.31e-05,rtol=3.98e-04,rtol=2.51e-03,rtol=1.58e-02,rtol=1.00e-01
atol=1.00e-12,0.9061995079637052,0.9053591901420319,0.9025181254254033,0.8878014176255535,0.6024970032680744,1.050637363790218
atol=1.58e-11,0.9056590996201602,0.9045256279621682,0.9024735747154584,0.8875152683926347,0.6010037041324182,1.0653579842892826
atol=2.51e-10,0.9059268599362397,0.9043821226206055,0.9018936022900722,0.887886357625712,0.6015848637687308,1.0721245660238652
atol=3.98e-09,0.9063743887865862,0.9046716780865196,0.9025760152561678,0.8872946447482366,0.6026549354688169,1.047771507928877
atol=6.31e-08,0.9056012476076476,0.9056600030041024,0.9016990521920061,0.8874581250955622,0.6007100301592384,1.0620313616895845
atol=1.00e-06,0.9053571230890218,0.9048650061079448,0.9016675752387455,0.8872240406972717,0.6041615281950415,1.0723314472683723
